Mozilla Public License 1.0,MPL-1.0,NON-FSF Libre,OSI Approved,,License Text
Mozilla Public License 1.1,MPL-1.1,FSF Libre,OSI Approved,,License Text
Mozilla Public License 2.0 (no copyleft exception),MPL-2.0-no-copyleft-exception,NON-FSF Libre,OSI Approved,,License Text
Mozilla Public License 2.0,MPL-2.0,FSF Libre,OSI Approved,,License Text
Microsoft Public License,MS-PL,FSF Libre,OSI Approved,,License Text
Microsoft Reciprocal License,MS-RL,FSF Libre,OSI Approved,,License Text
Matrix Template Library License,MTLL,NON-FSF Libre,NON-OSI Approved,,License Text
Multics License,Multics,NON-FSF Libre,OSI Approved,,License Text
Mup License,Mup,NON-FSF Libre,NON-OSI Approved,,License Text
NASA Open Source Agreement 1.3,NASA-1.3,NON-FSF Libre,OSI Approved,,License Text
Naumen Public License,Naumen,NON-FSF Libre,OSI Approved,,License Text
Net Boolean Public License v1,NBPL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
University of Illinois/NCSA Open Source License,NCSA,FSF Libre,OSI Approved,,License Text
Net-SNMP License,Net-SNMP,NON-FSF Libre,NON-OSI Approved,,License Text
NetCDF license,NetCDF,NON-FSF Libre,NON-OSI Approved,,License Text
Newsletr License,Newsletr,NON-FSF Libre,NON-OSI Approved,,License Text
Nethack General Public License,NGPL,NON-FSF Libre,OSI Approved,,License Text
Norwegian Licence for Open Government Data,NLOD-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
No Limit Public License,NLPL,NON-FSF Libre,NON-OSI Approved,,License Text
Nokia Open Source License,Nokia,FSF Libre,OSI Approved,,License Text
Netizen Open Source License,NOSL,FSF Libre,NON-OSI Approved,,License Text
Noweb License,Noweb,NON-FSF Libre,NON-OSI Approved,,License Text
Netscape Public License v1.0,NPL-1.0,FSF Libre,NON-OSI Approved,,License Text
Netscape Public License v1.1,NPL-1.1,FSF Libre,NON-OSI Approved,,License Text
Non-Profit Open Software License 3.0,NPOSL-3.0,NON-FSF Libre,OSI Approved,,License Text
NRL License,NRL,NON-FSF Libre,NON-OSI Approved,,License Text
NTP License,NTP,NON-FSF Libre,OSI Approved,,License Text
Open CASCADE Technology Public License,OCCT-PL,NON-FSF Libre,NON-OSI Approved,,License Text
OCLC Research Public License 2.0,OCLC-2.0,NON-FSF Libre,OSI Approved,,License Text
ODC Open Database License v1.0,ODbL-1.0,FSF Libre,NON-OSI Approved,,License Text
SIL Open Font License 1.0,OFL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
SIL Open Font License 1.1,OFL-1.1,FSF Libre,OSI Approved,,License Text
Open Group Test Suite License,OGTSL,NON-FSF Libre,OSI Approved,,License Text
Open LDAP Public License v1.1,OLDAP-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v1.2,OLDAP-1.2,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v1.3,OLDAP-1.3,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v1.4,OLDAP-1.4,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.0.1,OLDAP-2.0.1,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),OLDAP-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.1,OLDAP-2.1,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.2.1,OLDAP-2.2.1,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License 2.2.2,OLDAP-2.2.2,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.2,OLDAP-2.2,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.3,OLDAP-2.3,FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.4,OLDAP-2.4,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.5,OLDAP-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.6,OLDAP-2.6,NON-FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.7,OLDAP-2.7,FSF Libre,NON-OSI Approved,,License Text
Open LDAP Public License v2.8,OLDAP-2.8,NON-FSF Libre,NON-OSI Approved,,License Text
Open Market License,OML,NON-FSF Libre,NON-OSI Approved,,License Text
OpenSSL License,OpenSSL,FSF Libre,NON-OSI Approved,,License Text
Open Public License v1.0,OPL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
OSET Public License version 2.1,OSET-PL-2.1,NON-FSF Libre,OSI Approved,,License Text
Open Software License 1.0,OSL-1.0,FSF Libre,OSI Approved,,License Text
Open Software License 1.1,OSL-1.1,FSF Libre,NON-OSI Approved,,License Text
Open Software License 2.0,OSL-2.0,FSF Libre,OSI Approved,,License Text
Open Software License 2.1,OSL-2.1,FSF Libre,OSI Approved,,License Text
Open Software License 3.0,OSL-3.0,FSF Libre,OSI Approved,,License Text
ODC Public Domain Dedication & License 1.0,PDDL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
PHP License v3.0,PHP-3.0,NON-FSF Libre,OSI Approved,,License Text
PHP License v3.01,PHP-3.01,FSF Libre,NON-OSI Approved,,License Text
Plexus Classworlds License,Plexus,NON-FSF Libre,NON-OSI Approved,,License Text
PostgreSQL License,PostgreSQL,NON-FSF Libre,OSI Approved,,License Text
psfrag License,psfrag,NON-FSF Libre,NON-OSI Approved,,License Text
psutils License,psutils,NON-FSF Libre,NON-OSI Approved,,License Text
Python License 2.0,Python-2.0,FSF Libre,OSI Approved,,License Text
Qhull License,Qhull,NON-FSF Libre,NON-OSI Approved,,License Text
Q Public License 1.0,QPL-1.0,FSF Libre,OSI Approved,,License Text
Rdisc License,Rdisc,NON-FSF Libre,NON-OSI Approved,,License Text
Red Hat eCos Public License v1.1,RHeCos-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
Reciprocal Public License 1.1,RPL-1.1,NON-FSF Libre,OSI Approved,,License Text
Reciprocal Public License 1.5,RPL-1.5,NON-FSF Libre,OSI Approved,,License Text
RealNetworks Public Source License v1.0,RPSL-1.0,FSF Libre,OSI Approved,,License Text
RSA Message-Digest License,RSA-MD,NON-FSF Libre,NON-OSI Approved,,License Text
Ricoh Source Code Public License,RSCPL,NON-FSF Libre,OSI Approved,,License Text
Ruby License,Ruby,FSF Libre,NON-OSI Approved,,License Text
Sax Public Domain Notice,SAX-PD,NON-FSF Libre,NON-OSI Approved,,License Text
Saxpath License,Saxpath,NON-FSF Libre,NON-OSI Approved,,License Text
SCEA Shared Source License,SCEA,NON-FSF Libre,NON-OSI Approved,,License Text
Sendmail License,Sendmail,NON-FSF Libre,NON-OSI Approved,,License Text
SGI Free Software License B v1.0,SGI-B-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
SGI Free Software License B v1.1,SGI-B-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
SGI Free Software License B v2.0,SGI-B-2.0,FSF Libre,NON-OSI Approved,,License Text
Simple Public License 2.0,SimPL-2.0,NON-FSF Libre,OSI Approved,,License Text
Sun Industry Standards Source License v1.2,SISSL-1.2,NON-FSF Libre,NON-OSI Approved,,License Text
Sun Industry Standards Source License v1.1,SISSL,FSF Libre,OSI Approved,,License Text
Sleepycat License,Sleepycat,FSF Libre,OSI Approved,,License Text
Standard ML of New Jersey License,SMLNJ,FSF Libre,NON-OSI Approved,,License Text
Secure Messaging Protocol Public License,SMPPL,NON-FSF Libre,NON-OSI Approved,,License Text
SNIA Public License 1.1,SNIA,NON-FSF Libre,NON-OSI Approved,,License Text
Spencer License 86,Spencer-86,NON-FSF Libre,NON-OSI Approved,,License Text
Spencer License 94,Spencer-94,NON-FSF Libre,NON-OSI Approved,,License Text
Spencer License 99,Spencer-99,NON-FSF Libre,NON-OSI Approved,,License Text
Sun Public License v1.0,SPL-1.0,FSF Libre,OSI Approved,,License Text
SugarCRM Public License v1.1.3,SugarCRM-1.1.3,NON-FSF Libre,NON-OSI Approved,,License Text
Scheme Widget Library (SWL) Software License Agreement,SWL,NON-FSF Libre,NON-OSI Approved,,License Text
